,ID,TMC,Severity,Start_Time,End_Time,City,County,State,Zipcode,Country,Temperature(F),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Sunrise_Sunset,Stop,Traffic_Signal,Weekday,Month,Day,Year,Season
441,A-531452,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85008,US,42.0,10.0,5.0,0.0,Fair,Night,True,False,Wednesday,12,16,2020,Winter
442,A-531453,201,2,2020-12-16,2020-12-16,Mesa,Maricopa,AZ,85204,US,41.0,10.0,0.0,0.0,Fair,Night,False,False,Wednesday,12,16,2020,Winter
443,A-531454,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85007,US,41.0,10.0,0.0,0.0,Fair,Night,True,False,Wednesday,12,16,2020,Winter
444,A-531455,241,2,2020-12-16,2020-12-16,Mesa,Maricopa,AZ,85209,US,32.0,10.0,0.0,0.0,Fair,Night,False,False,Wednesday,12,16,2020,Winter
445,A-531456,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85042,US,40.0,10.0,3.0,0.0,Fair,Night,True,False,Wednesday,12,16,2020,Winter
446,A-531457,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85050,US,38.0,10.0,6.0,0.0,Fair,Night,False,False,Wednesday,12,16,2020,Winter
448,A-531459,201,2,2020-12-16,2020-12-16,Scottsdale,Maricopa,AZ,85255,US,39.0,10.0,0.0,0.0,Fair,Night,False,True,Wednesday,12,16,2020,Winter
449,A-531460,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85016,US,40.0,10.0,3.0,0.0,Fair,Night,False,False,Wednesday,12,16,2020,Winter
450,A-531461,201,2,2020-12-16,2020-12-16,Glendale,Maricopa,AZ,85308,US,38.0,10.0,6.0,0.0,Fair,Night,False,False,Wednesday,12,16,2020,Winter
451,A-531462,201,2,2020-12-16,2020-12-16,Scottsdale,Maricopa,AZ,85255,US,41.0,10.0,0.0,0.0,Fair,Day,False,True,Wednesday,12,16,2020,Winter
452,A-531463,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85053,US,37.0,10.0,5.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
453,A-531464,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85027,US,37.0,10.0,5.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
455,A-531466,241,2,2020-12-16,2020-12-16,Scottsdale,Maricopa,AZ,85251,US,46.0,10.0,0.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
456,A-531467,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85023,US,44.0,10.0,0.0,0.0,Fair,Day,True,False,Wednesday,12,16,2020,Winter
457,A-531468,201,2,2020-12-16,2020-12-16,Paradise Valley,Maricopa,AZ,85253,US,47.0,10.0,0.0,0.0,Fair,Day,True,False,Wednesday,12,16,2020,Winter
458,A-531469,201,2,2020-12-16,2020-12-16,Tempe,Maricopa,AZ,85281,US,54.0,10.0,5.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
460,A-531471,201,3,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85015,US,60.0,10.0,0.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
461,A-531472,201,2,2020-12-16,2020-12-16,Mesa,Maricopa,AZ,85206,US,62.0,10.0,3.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
462,A-531473,201,3,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85040,US,62.0,10.0,3.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
463,A-531474,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85027,US,60.0,10.0,7.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
464,A-531475,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85027,US,60.0,10.0,7.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
465,A-531476,241,2,2020-12-16,2020-12-16,Tempe,Maricopa,AZ,85281,US,62.0,10.0,3.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
466,A-531477,201,2,2020-12-16,2020-12-16,Scottsdale,Maricopa,AZ,85259,US,62.0,10.0,3.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
468,A-531479,201,3,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85009,US,63.0,10.0,6.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
469,A-531480,201,2,2020-12-16,2020-12-16,El Mirage,Maricopa,AZ,85335,US,62.0,10.0,5.0,0.0,Fair,Day,False,True,Wednesday,12,16,2020,Winter
470,A-531481,201,2,2020-12-16,2020-12-16,Scottsdale,Maricopa,AZ,85255,US,63.0,10.0,5.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
472,A-531483,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85050,US,61.0,10.0,5.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
